ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL
12405,HDULEH,HGELM,ASDEX,0.2959,2.205,3.7889999999999997,1.8699999999999999,1.694,0.9748,0.24208972845336485,1.5,0.051,19820622,5980,1.205,4.563,0.0,1086.98671599628,15.406716623563081,3.606992116130868,0.07497,0.00643016144138506,0.601125076774512,0.22302982978640973,1.47
12406,NAC6N1,HGELM,ASDEX,0.29519999999999996,2.205,3.734,2.024,1.684,0.9724,0.24423990498812354,1.5,0.04902,19820622,5980,1.224,4.671,0.0,1150.57852090773,15.4708831572927,3.647604401636569,0.0720594,0.006596277981475215,0.6270563635865279,0.1954179495318936,1.47
12411,U2T1C7,HSELM,ASDEX,0.2971,2.205,3.4099999999999997,1.132,1.693,0.9895,0.238806851742469,1.5,0.06375,19820622,5982,1.188,4.275,0.0,927.00637009697,15.300207314957419,3.5443109155289627,0.0937125,0.006023336771371074,0.46137398324526635,0.2747182587613873,1.47
12412,422XQB,HGELM,ASDEX,0.2959,2.205,3.775,1.376,1.693,0.9744,0.2423508564678086,1.5,0.06991,19820622,5982,1.216,4.574,0.0,1100.51299555299,15.420934541647128,3.6112242343749332,0.1027677,0.00646689185748488,0.6063566361089237,0.21675271554905096,1.47
12413,WZ9FED,HGELM,ASDEX,0.29419999999999996,2.204,3.847,2.033,1.685,0.9691,0.24492581602373886,1.5,0.05151,19820622,5982,1.244,4.758,0.0,1173.62199855691,15.475806182607364,3.668908605496688,0.07568536000000001,0.006642417716611197,0.6595693085310793,0.19399324636618692,1.4693333333333334
12418,XTJJ2Y,HSELM,ASDEX,0.2969,2.202,3.363,1.3299999999999998,1.687,0.9942,0.23847065797273265,1.5,0.04856,19820622,5996,1.183,4.216,0.0,848.222982815257,15.218329859609621,3.537677307419574,0.07128608,0.005798234720570045,0.417479798227668,0.32080219779219193,1.468
12419,0AQACB,HGELM,ASDEX,0.2963,2.204,3.4179999999999997,1.6709999999999998,1.685,0.9863,0.24071216617210683,1.5,0.04612,19820622,5996,1.209,4.373,0.0,988.707635596503,15.363473902720813,3.5810780214898115,0.06776565333333334,0.006203439187578163,0.49368502897714506,0.2415321837697824,1.4693333333333334
12420,9WV00D,HGELM,ASDEX,0.2949,2.204,3.445,2.032,1.682,0.984,0.24161712247324613,1.5,0.04053,19820622,5996,1.234,4.439,0.0,1048.89317898255,15.418631843023189,3.6108608512909606,0.05955208,0.006376883204435423,0.5278742754297147,0.21727031661110346,1.4693333333333334
12425,QXXYOT,HSELM,ASDEX,0.2969,2.205,3.378,1.5719999999999998,1.689,0.9941,0.23818827708703375,1.5,0.04232,19820622,6002,1.183,4.213,0.0,869.120345568822,15.240442717234426,3.5383022449705543,0.062210400000000006,0.005861239308520059,0.42850467602023706,0.30833588363734293,1.47
12427,E8PDBN,HGELM,ASDEX,0.2969,2.204,3.558,2.029,1.689,0.9818,0.24114860864416815,1.5,0.04232,19820622,6002,1.214,4.429,0.0,1052.23266582075,15.405673262780628,3.579367381282615,0.062182186666666674,0.006372913317525358,0.5469249486199546,0.22241010923545357,1.4693333333333334
