ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL
12440,ERNEI5,HGELM,ASDEX,0.2966,2.205,3.713,1.4349999999999998,1.697,0.9801,0.24048320565704184,1.5,0.06155,19820622,6011,1.217,4.445,0.0,1029.63509950734,15.362642681863342,3.5753843708986324,0.0904785,0.006288898746807419,0.5579872710338649,0.2436039488526565,1.47
12441,ACO5TL,HGELM,ASDEX,0.29519999999999996,2.205,3.767,2.011,1.686,0.9711,0.24412811387900357,1.5,0.0491,19820622,6011,1.254,4.691,0.0,1133.4163406413,15.451455219970839,3.6453927837373414,0.07217699999999999,0.006542125883378654,0.6231621879744143,0.20316268637881427,1.47
12448,Z131IV,HGELM,ASDEX,0.2958,2.205,3.56,2.052,1.685,0.9841,0.24118694362017803,1.5,0.04,19820622,6023,1.214,4.423,0.0,1009.5654618867,15.363998032399003,3.5943915236999726,0.0588,0.006253354809241872,0.5245664203586995,0.24146964265553633,1.47
12453,9URZXG,HGELM,ASDEX,0.29769999999999996,2.204,3.864,1.3239999999999998,1.697,0.9914,0.23771361225692397,1.5,0.05714,19820624,6053,1.184,4.215,0.0,857.581004030494,15.159867205074441,3.5188976523475173,0.08395770666666667,0.005808957697674222,0.4840857306698542,0.3611372464039924,1.4693333333333334
12454,0J5RK1,HGELM,ASDEX,0.2958,2.203,4.639,1.708,1.694,0.9767,0.24167650531286894,1.5,0.0618,19820624,6053,1.236,4.524,0.0,984.488943519712,15.206476277906809,3.598641316881767,0.0907636,0.006135517620441019,0.6677892330852704,0.3286353422327519,1.4686666666666666
12455,TQMVGT,HGELM,ASDEX,0.2948,2.204,5.08,2.021,1.687,0.9724,0.24374629519857735,1.5,0.05512,19820624,6053,1.288,4.666,0.0,948.229463222452,15.123543915312577,3.6429941205574234,0.08098965333333334,0.005992391070890644,0.7036993804909678,0.3840073906971702,1.4693333333333334
12460,ZU4DFQ,HSELM,ASDEX,0.2983,2.202,3.564,1.426,1.696,0.9978,0.23637971698113208,1.5,0.04645,19820624,6066,1.178,4.11,0.0,819.654587202952,15.1550442849206,3.4892274487273696,0.0681886,0.005719659661472117,0.42753052794641383,0.3642970424936164,1.468
12462,YSD9P2,HGELM,ASDEX,0.2946,2.201,4.095,2.01,1.688,0.9696,0.24419431279620854,1.5,0.05323,19820624,6066,1.258,4.714,0.0,1126.97097575946,15.40400842484415,3.6468016179896527,0.07810615333333333,0.006525840536148857,0.6760203094851596,0.22295957431642338,1.4673333333333334
12467,R8SRSD,HSELM,ASDEX,0.2961,2.202,4.663,1.444,1.696,0.9799,0.24056603773584906,1.5,0.06682,19820624,6069,1.216,4.444,0.0,897.151550068616,15.110998314343192,3.575866498564683,0.09809176,0.005879813483350996,0.6122514033673411,0.3959727436037445,1.468
12468,48JYX2,HGELM,ASDEX,0.2946,2.202,4.721,1.7149999999999999,1.693,0.9755,0.24199645599527467,1.5,0.05937,19820624,6069,1.232,4.564,0.0,932.918658973297,15.143910717357493,3.615198175888285,0.08715516,0.005970995346306003,0.6445792810951377,0.3716573389011013,1.468
